data;bolivia;argentina;regaseificacao_gnl
01/09/2022;12,55;0;4,76
01/10/2022;17,94;0;1,06
02/11/2022;19,38;0;1,75
04/12/2022;18,12278284;0;1,283268851
05/01/2023;18,19787365;0;0,058326961
01/02/2023;18,16537654;0;0,100066093
01/03/2023;19,38903458;0;0,039033635
01/04/2023;17,53253379;0;0,324712779
01/05/2023;13,60552568;0;0,659972313
01/06/2023;13,31577427;0;4,292096075
01/07/2023;12,88459813;0;0,601365029
01/08/2023;13,29763258;0;0,83972919
